ID,TEMA,LOCAL,TEMPO,CATEGORIA,STATUS,DESCRICAO,URL,ANO,MES,DIA,DIA_DO_ANO,SEMANA_DO_ANO,DIA_DA_SEMANA,TRIMETRES,CASOS
 152805733,Constrangimento em loja física ,João Pessoa - PB,2022-01-11,Mau Atendimento<->Carrefour - Loja Física<->Problemas com o Atendimento<->Equipe de Atendimento,Não resolvido,"Olá, boa noite!Na data de ontem passei por um constrangimento em público ao tentar realizar o pagamento das minhas compras em uma das lojas do Carrefour na cidade de João Pessoa, PB. Fiz contato por outros meios e até o momento não tive nenhum suporte da loja.Em resumo, separei alguns produtos para comprar (alimentos, materiais de higiene e um utensílios para casa) , cheguei até o atendimento do caixa passei minhas compras e no momento de pagar a agente do caixa me informou que não poderia pagar minhas compras com o meu ticket. Informou que a compra com o ticket alimentação só é permitida para compras ""grandes"" e que o utensílio para casa e o material de higiene que eu estava levando não era permitido.Expliquei no momento que já havia realizado outras compras e nunca tive esse tipo de problema. Solicitei contato com o gerente da loja e o mesmo junto com a agente expressaram que não iriam liberar o pagamento das minhas compras. Por fim, fui obrigada a não levar os itens que desejava e ainda ser exposta para outras pessoas que estavam na fila e sem entender a situação que estava passando comigo. Repito, nunca tive problemas com minhas compras na loja e tão pouco com a forma de pagamento que uso. O cliente não pode ser descartado por isso. Com todo o transtorno, perdi o prazo para completar minha meta do mês para ganho de benefícios no aplicativo da marca. Fora todo o constrangimento vivido e descaso dos funcionários envolvidos usando palavras de pouco caso com minha situação.Aguardo um retorno.",https://www.reclameaqui.com.br//carrefour-loja-fisica/constrangimento-em-loja-fisica_QW64jJkrB6V4EAZs/,2022,1,11,11,2,1,1,10
 152769745,Cancelamento de todos os cartões VR ,Guarulhos - SP,2022-01-11,Carrefour - Loja Física,Respondida,"Hoje fui realizar mais uma compra no Carrefour vila rio , quando fui informa Pela operadora de caixa que o Carrefour deixará de aceitar todos os cartões de VR fiquei bem preocupada por que sou funcionário pública e recebo uma boa quantia no meu alelo VR e amava realizar minhas compras no meu VR no Carrefour pós e uma rede de supermercados ótima com produtos maravilhosos o motivo dessa reclamação e que não gostaria que o mercado parece de oferecer essa opção para nós clientes até por que ficamos felizes em realizar compras e pagar com nossos VR . Estou super chateada com essa decisão do Carrefour.",https://www.reclameaqui.com.br//carrefour-loja-fisica/cancelamento-de-todos-os-cartoes-vr_okdYVY1F4eBUP75Z/,2022,1,11,11,2,1,1,10
 152780539,valor de compra após pane no caixa não foi estornado,São Paulo - SP,2022-01-11,Supermercados<->Estorno do valor pago<->Carrefour - Loja Física<->Hipermercados,Resolvido,"Na data de 30/10/2022, comprei algumas coisas na loja ECN porém após passar toda a compra no momento do pagamento o caixa teve uma pane, onde a fiscal foi chamada e me informou que precisaria passar todos os produtos novamente, neste momento eu a questiono sobre ter de pagar novamente a compra, a mesma informa que sim, mas, que o valor cobrado na primeira compra seria estornado, porém por se tratar de um Domingo o estorno poderia demorar, mas que se no próximo dia útil o estorno não fosse realizado eu poderia reclamar na loja.Infelizmente eu não moro na cidade onde fica a loja o que impossibilita minha ida até lá, para formalizar a reclamação, tentei contactar os canais de atendimento site e telefone, porém sem sucesso, por isso, estou registrando a reclamação por aqui a fim de obter alguma resolução para o estorno do valor.",https://www.reclameaqui.com.br//carrefour-loja-fisica/valor-de-compra-apos-pane-no-caixa-nao-foi-estornado_QqKZD-9JnB80Y-Jd/,2022,1,11,11,2,1,1,10
 152795869,Loja fisica do Carrefour não fornecem código de rastreamento dos produtos que enviam por transportadora.,Goiânia - GO,2022-01-11,Mau Atendimento<->Carrefour - Loja Física<->Hipermercados,Não resolvido,"Comprei um eletrodoméstico em uma loja física do Carrefour e não tinha a pronta entrega, mas o vendedor disse que o Carrefour podiam fazer a entrega através de uma transportadora parceira terceirizada em até 7 dias uteis. Então eu aceitei me informaram valor do frete que seria 30 reais, mas alguns dias da semana não tem ninguém em casa e eu precisaria do código de rastreamento para me programar, liguei na loja para solicitar o código de rastreamento, pois toda transportadora geralmente fornece esse código com rastreamento e informações do progresso do pedido, e não souberam me informar na loja física, liguei no SAC 3004-2222 fui mau atendido e falaram que não podia fazer nada e praticamente pediram pra mim desligar telefone, falei que iria fazer reclamação no Relame Aqui e falaram pra mim fazer, muita falta de profissionalismo podiam evitar uma reclamação, Enfim só preciso do código de rastreamento, e as transportadoras fornecem geralmente, não so para compras de sites.      ",https://www.reclameaqui.com.br//carrefour-loja-fisica/loja-fisica-do-carrefour-nao-fornecem-codigo-de-rastreamento-dos-produtos-q_5xtrHKBwfREO39BT/,2022,1,11,11,2,1,1,10
 152797031,Produto mofado e pouco caso no atendimento ,Belo Horizonte - MG,2022-01-11,Produtos estragados<->Carrefour - Loja Física<->Hipermercados,Respondida,"Boa tarde!Realizei uma compra no Carrefour BH shopping no sábado, dia 22/10. Ao chegar em casa fui surpreendida pelo mal cheiro do peixe podre que me foi vendido.  Registrei o fato, recebi uma ligação mas não tenho um retorno definitivo sobre a devolução do meu dinheiro. Mas a decepção não parou por aí,  acabo de verificar que o queijo que comprei no mesmo momento, com previsão de vencimento dia 05/11, está mofado! Isso porque hoje é dia 1. Desse modo, verifica-se que as condições sanitárias ou de conservação dos alimentos fornecidos pelo Carrefour não são satisfatórias,  não é mesmo?Encaminho as imagens bem como foi feito com o peixe e solicito a devolução do pagamento. Desde já registro que não concordo com emissão de vale compras nesse supermercado porque vou comprar em outro local, visto a perda da confiança na segurança e dos riscos que essas condições podem acarretar à saúde da minha família.",https://www.reclameaqui.com.br//carrefour-loja-fisica/produto-mofado-e-pouco-caso-no-atendimento_KH3-qFIMADXtgHbb/,2022,1,11,11,2,1,1,10
 152754603,Abastecimento do posto gasolina dentro do Carrefour ,São Paulo - SP,2022-01-11,Baixa Qualidade<->Canais de Atendimento<->Carrefour - Loja Física,Não resolvido,"Completei o tanque com gasolina comum no posto de gasolina (27litros)dentro do Carrefour da av Salim Maluf em São Paulo,no dia 31/10/2022,Hoje dia 01/11/22 o veículo não quer pegar,fica falando e morre,Tentei contato pelos números do Carrefour mais impossível resolveram pois não tem a opção de reclamações,Solicito providências por parte da rede Carrefour uma vez que o posto se localiza dentro do páteo do Carrefour.",https://www.reclameaqui.com.br//carrefour-loja-fisica/abastecimento-do-posto-gasolina-dentro-do-carrefour_jdkiKecHgHFEAI1G/,2022,1,11,11,2,1,1,10
 152802077,Funcionária irônica ,Rio de Janeiro - RJ,2022-01-11,Mau Atendimento<->Atendimento na Loja<->Carrefour - Loja Física<->Problemas na Loja,Resolvido,Sempre faço compras no Carrefour Compro de tudo pois a loja tem bastante coisa Inclusive vinho ou cerveja Nunca me perguntam como é a forma de pagamento Quando vc trabalha numa empresa e adquire um cartão de alimentação a pessoa sabe que só deverá usar pra alimentação Pois bem porque só dessa vez a caixa perguntou como eu iria pagar?Eu ainda respondi com uma pergunta porque Sempre compro vejo pessoas passando com vinhos cervejas e nunca são perguntadosBom vamos ao que interessa E aleatório perguntam olhando pra cara Sender vontade estou cansada vou curtir com a cara dos outros qual seria o critério E depois ela me perguntou se tinha estacionamento eu sei que depois de um valor e dado um tiver pro estacionamento disse que não é ela ironicamente rindo perguntou novamente perguntei pelo gerente ainda chegou uma outra funcionária ela cogitou em perguntar e novamente sendo irônica procurei o gerente tinha 2 senhoras numa mesa perguntei se elas eram da gerência enrolaram então falei mais ou menos e elas responderam que era de praxe perguntarem então lhes disse que se era de praxe eu quase toda semana faço compras e sempre tem ou vinho ou cerveja e nunca me perguntaramOlha a chateação é pelo tipo de abordagem Sei reconhecer ironia ,https://www.reclameaqui.com.br//carrefour-loja-fisica/funcionaria-ironica_2UnvLL9-ytcEyA0-/,2022,1,11,11,2,1,1,10
 152804483,Atendimento Desrespeitoso ,Brasília - DF,2022-01-11,Supermercados<->Mau Atendimento<->Carrefour - Loja Física,Resolvido,"Hoje 01/10/22 em torno de 19:45, a atendente do ultimo caixa proximo as bebidas (estava com o cracha virado), so percebeu que nao tinha escaneado o codigo de barras da entrega direito ao passar o ultimo produto, ao inves de reescanear o codigo e repassar os produtos insistiu que eu retornasse para fila (o que impactaria meus ganhos do dia visto que perderia mais tempo ainda na fila) e se recusou a chamar a gerente.Por sorte ao falar com a Jamile (tvz seja Ramila desculpe, uma moça bonita de cabelos cacheados que estava organizando as plantas) a mesma fez a gentileza de passar os produtos para mim com muita educaçao e bom grado.Ps: Caso o mercado nao se adapte para atender os entregadores com respeito, incentivarei os mesmo a fazer comprar de valor irrisorio todos juntos em horario de pico, para que quem estiver encarregado entenda a falta de cortesia que aturamos.",https://www.reclameaqui.com.br//carrefour-loja-fisica/atendimento-desrespeitoso_MsbQJS3-Z3q-rP3d/,2022,1,11,11,2,1,1,10
 152808623,Péssima experiência,Santo André - SP,2022-01-11,Carrefour - Loja Física<->Produtos estragados,Resolvido,"Realizei minha compra mensal no dia 28/10/22 no Hipermercado Carrefour da Avenida Pereira Barreto 2920 (Santo André - SP).Ao chegar em casa me deparei com diversos problemas. A começar pela melancia inteira que estava na promoção. Quando abri a melancia estava toda estragada, só tinha água dentro. Se esse tivesse sido o único problema até deixava quieto, afinal quem nunca comprou fruta estraga antes. Porém ao abrir a caixa do meu cereal verifiquei que a embalagem de plástico interna estava aberta. Como se não bastasse, a caixa de leite fechada que deveria vir com 12 unidades veio com 11, estava faltando 1 unidade bem do meio da caixa, onde não da para ver. E para fechar com chave de ouro, após verificar a nota percebi que a caixa cobrou 3 unidades de um creme dental, sendo que comprei 2 unidades.No final do dia me senti um idiota. Eu sei que nada pode ser feito para me ressarcir desses problemas, mas gostaria de deixar registrado minha péssima experiência com a loja e que não recomendo e nem pretendo voltar a fazer compras nela.",https://www.reclameaqui.com.br//carrefour-loja-fisica/pessima-experiencia_9DH2jFi7MpUi78Zw/,2022,1,11,11,2,1,1,10
 152801219,Sem atendentes na maioria dos caixas ,Goiânia - GO,2022-01-11,Supermercados<->Mau Atendimento<->Carrefour - Loja Física,Resolvido,"Fila enorme, e vários caixas vazios tá uma porcaria esse atendimento do Carrefour de Goiânia no jardim Goiás, espera séculos pra paga compras! Espero que seja resolvido tá uma vergonha, se fazem mercado desse tamanho pra que então? Esse tanto de caixa vazio pra que fazer esse tanto de caixa então? Tá ridículo isso aqui! Tô na fila nesse momento 10 pessoas na frente com carrinhos lotados! E vários caixas vazios! ",https://www.reclameaqui.com.br//carrefour-loja-fisica/sem-atendentes-na-maioria-dos-caixas_4k6QdZCBuT-cAKDq/,2022,1,11,11,2,1,1,10
